"profile","group","percentile","n_control","n_treated","estimate","lower","upper","width","trial_estimate","trial_lower","trial_upper","trial_width","width_ratio","q","repetition","calibration","reference_disagreement","full_cohort_n_control","full_cohort_n_treated","supported"
"2.2:0.5","2.2",0.5,97,79,8.61210748299764,4.57279361211785,14.2838973619982,9.7111037498804,8.77524876163478,4.79093154727029,13.8135276830023,9.02259613573198,1.07630925775584,0.3,1,"ridge",-4.01408991829011,289,224,TRUE
"2.2:0.75","2.2",0.75,97,79,10.8271431627175,3.49115088425944,17.1132642136591,13.6221133293997,11.3470504502354,4.19018637792559,17.8127920867977,13.6226057088721,0.99996385570551,0.3,1,"ridge",-2.09322734042041,289,224,TRUE
"1.Missing:0.25","1.Missing",0.25,3,2,2.46471020522165,-5.64047795548096,15.6587611851383,21.2992391406192,1.73776489551225,-6.64036658889318,15.5241299274356,22.1644965163288,0.960962010796315,0.3,1,"ridge",-1.78028303429498,11,15,TRUE
"1.Missing:0.5","1.Missing",0.5,3,2,6.06427157994166,-2.62596751339562,18.9025227453886,21.5284902587842,5.75115661047063,-2.90241008267333,18.2029591737846,21.1053692564579,1.02004802650855,0.3,1,"ridge",-2.67338218802197,11,15,TRUE
"1.Missing:0.75","1.Missing",0.75,3,2,9.12979829163355,2.40748427444491,20.0466053740648,17.6391210996198,9.26936193298246,1.63119578992903,20.1371214569554,18.5059256670264,0.953160701982554,0.3,1,"ridge",-1.0086762333686,11,15,TRUE
"2.Missing:0.25","2.Missing",0.25,6,3,4.68386666811506,0.328767434333471,10.4291768305584,10.1004093962249,4.35933092142915,0.154026022336731,9.93077215947828,9.77674613714155,1.033105417134,0.3,1,"ridge",-3.91185827261842,18,9,TRUE
"2.Missing:0.5","2.Missing",0.5,6,3,5.93162713231176,1.21901238731146,11.8788470750984,10.659834687787,5.74854014308715,1.03460523316332,11.2046696350985,10.1700644019352,1.0481580318959,0.3,1,"ridge",-4.26988935122993,18,9,TRUE
"1.1:0.25","1.1",0.25,50,44,2.51431033497378,-5.76999548145296,16.1427507072501,21.912746188703,2.15173869741645,-6.2651421253912,15.6610303999574,21.9261725253486,0.999387657073754,0.3,1,"lasso",-2.21298472383066,189,150,TRUE
"1.1:0.5","1.1",0.5,77,46,7.88420218246858,-4.17712866527596,16.2377215094255,20.4148501747014,7.99290336287541,-4.11112684037071,14.9105456471283,19.021672487499,1.07324159787306,0.3,1,"lasso",-4.89992183722208,279,164,TRUE
"1.1:0.75","1.1",0.75,50,44,8.9509850434132,2.42347333807751,20.4195469070314,17.9960735689539,9.38200544908556,1.78488472988925,20.1655405341294,18.3806558042402,0.979076794681202,0.3,1,"lasso",-1.19080882058497,189,150,TRUE
"2.1:0.25","2.1",0.25,74,57,7.34284458151224,-3.26196395059018,15.6548941842331,18.9168581348233,7.16665400917022,-2.84761678439242,14.946649220555,17.7942660049474,1.06308729618652,0.3,1,"lasso",-6.04351595185859,261,180,TRUE
"2.1:0.5","2.1",0.5,74,57,10.2042258372453,-1.22092269187906,17.7449005595354,18.9658232514145,10.3531438613912,-0.402421025215028,18.7460313884909,19.1484524137059,0.990462458357171,0.3,1,"lasso",-6.06387652415262,261,180,TRUE
"2.1:0.75","2.1",0.75,74,57,12.6892999314195,1.58317792663133,18.4760082035803,16.8928302769489,13.2406024789602,2.18584846955319,19.0650970560463,16.8792485864932,1.00080463833364,0.3,1,"lasso",-4.02261231359336,261,180,TRUE
"1.2:0.25","1.2",0.25,93,74,3.9419149823876,-4.55524381214985,17.1223299814537,21.6775737936035,3.71892390585926,-4.84463422680851,16.1793113150206,21.0239455418291,1.03108970437894,0.3,1,"lasso",-2.61120528475224,303,251,TRUE
"1.2:0.5","1.2",0.5,93,74,6.53674961012991,-1.87392992832682,20.4528081252007,22.3267380535275,6.59473276800049,-1.96460287233779,18.9333302806043,20.8979331529421,1.0683706321639,0.3,1,"lasso",-2.86723421606038,303,251,TRUE
"1.2:0.75","1.2",0.75,93,74,9.02313439176948,2.56304342701723,20.3858258252057,17.8227823981885,9.46646935826232,1.90028989668811,20.1864899438475,18.2862000471594,0.974657520546874,0.3,1,"lasso",-1.12070200603071,303,251,TRUE
"2.2:0.25","2.2",0.25,3,9,8.17456972825611,-2.91765480509502,16.3068079633728,19.2244627684678,8.08169717586897,-2.42126628179738,15.9281150304489,18.3493813122463,1.04768997064972,0.3,1,"lasso",-6.24124548221753,26,22,TRUE
"2.2:0.5","2.2",0.5,97,79,8.6904511099139,4.50379931575206,14.6737115141913,10.1699121984392,8.77524876163478,4.79093154727029,13.8135276830023,9.02259613573198,1.12716030347003,0.3,1,"lasso",-3.93574629137385,289,224,TRUE
"2.2:0.75","2.2",0.75,97,79,10.8988284821555,3.46719966823265,16.5569013895188,13.0897017212861,11.3470504502354,4.19018637792559,17.8127920867977,13.6226057088721,0.960880906415802,0.3,1,"lasso",-2.0215420209824,289,224,TRUE
"1.Missing:0.25","1.Missing",0.25,3,2,2.13720650536093,-6.09086634720041,15.935014697858,22.0258810450584,1.73776489551225,-6.64036658889318,15.5241299274356,22.1644965163288,0.993746058198605,0.3,1,"lasso",-2.1077867341557,11,15,TRUE
"1.Missing:0.5","1.Missing",0.5,3,2,5.78404330905445,-2.81428356564937,19.7494883669012,22.5637719325506,5.75115661047063,-2.90241008267333,18.2029591737846,21.1053692564579,1.06910102630147,0.3,1,"lasso",-2.95361045890918,11,15,TRUE
