"q","calibration","subgroup","metric","repetitions_recorded","repetitions_finite","median","p10","p90","full_30_repetitions"
0.2,"lasso","free_lunch_Missing","trial_estimate",1,1,8.78075718872524,8.78075718872524,8.78075718872524,FALSE
0.2,"ridge","free_lunch_1","trial_estimate",1,1,10.479912874444,10.479912874444,10.479912874444,FALSE
0.2,"ridge","free_lunch_2","trial_estimate",1,1,9.32268240502448,9.32268240502448,9.32268240502448,FALSE
0.2,"ridge","free_lunch_Missing","trial_estimate",1,1,8.78075718872524,8.78075718872524,8.78075718872524,FALSE
0.3,"intercept","free_lunch_1","trial_estimate",1,1,7.56893543815136,7.56893543815136,7.56893543815136,FALSE
0.3,"intercept","free_lunch_2","trial_estimate",1,1,6.90783607648822,6.90783607648822,6.90783607648822,FALSE
0.3,"intercept","free_lunch_Missing","trial_estimate",1,1,6.30901508489352,6.30901508489352,6.30901508489352,FALSE
0.3,"lasso","free_lunch_1","trial_estimate",1,1,7.58428682821306,7.58428682821306,7.58428682821306,FALSE
0.3,"lasso","free_lunch_2","trial_estimate",1,1,6.97951095487957,6.97951095487957,6.97951095487957,FALSE
0.3,"lasso","free_lunch_Missing","trial_estimate",1,1,6.4136286663549,6.4136286663549,6.4136286663549,FALSE
0.3,"ridge","free_lunch_1","trial_estimate",1,1,7.58428682821306,7.58428682821306,7.58428682821306,FALSE
0.3,"ridge","free_lunch_2","trial_estimate",1,1,6.97951095487957,6.97951095487957,6.97951095487957,FALSE
0.3,"ridge","free_lunch_Missing","trial_estimate",1,1,6.4136286663549,6.4136286663549,6.4136286663549,FALSE
0.4,"intercept","free_lunch_1","trial_estimate",1,1,9.44248173808409,9.44248173808409,9.44248173808409,FALSE
0.4,"intercept","free_lunch_2","trial_estimate",1,1,10.7603743964316,10.7603743964316,10.7603743964316,FALSE
0.4,"intercept","free_lunch_Missing","trial_estimate",1,1,9.37116233260019,9.37116233260019,9.37116233260019,FALSE
0.4,"lasso","free_lunch_1","trial_estimate",1,1,9.57656602060706,9.57656602060706,9.57656602060706,FALSE
0.4,"lasso","free_lunch_2","trial_estimate",1,1,10.8197352211557,10.8197352211557,10.8197352211557,FALSE
0.4,"lasso","free_lunch_Missing","trial_estimate",1,1,9.44551249092995,9.44551249092995,9.44551249092995,FALSE
0.4,"ridge","free_lunch_1","trial_estimate",1,1,9.57656602060706,9.57656602060706,9.57656602060706,FALSE
0.4,"ridge","free_lunch_2","trial_estimate",1,1,10.8197352211557,10.8197352211557,10.8197352211557,FALSE
