"setting","scenario","n_r","n_o","calibration","variant","rho","gamma","kappa","treated_nuisance","method","target","interval_method","attempted","successful","fit_failures","unavailable","target_unavailable","interval_attempted","interval_successful","bootstrap_draws_attempted","bootstrap_draws_successful","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","mean_width","width_mcse","width_ratio","width_ratio_mcse","width_difference","width_difference_mcse","ise_difference","ise_difference_mcse","integrated_rmse_ratio","integrated_rmse_ratio_mcse","ise_increase_frequency","width_increase_frequency","variance_ratio","variance_ratio_mcse","control_loss_reduction","control_loss_reduction_mcse","pseudo_variance","control_loss","imputation_mse","imputation_mse_mcse","imputation_r_squared","imputation_r_squared_mcse","mean_embed_dim","coverage_scope"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","average","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.000983491034092458,0.00640736855683476,0.0903924070230126,0.00485777255253023,,,,,,,,,-0.00286744983578507,0.000756744699533473,0.941355752937332,0.0144195966537764,0.425,,0.930169667266307,0.00172977380524889,0.133558428321464,0.00461905130811999,4.32361153169017,1.03295421660701,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","below_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00656552030406391,0.00818541200595249,0.115655951116206,0.00652305105264723,,,,,,,,,-0.00286744983578507,0.000756744699533473,0.941355752937332,0.0144195966537764,0.425,,0.930169667266307,0.00172977380524889,0.133558428321464,0.00461905130811999,4.32361153169017,1.03295421660701,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","integrated","not computed (B = 0)",200,200,0,0,0,0,0,0,0,,,0.149395124540856,0.00463433125673753,,,,,,,,,-0.00286744983578507,0.000756744699533473,0.941355752937332,0.0144195966537764,0.425,,0.930169667266307,0.00172977380524889,0.133558428321464,0.00461905130811999,4.32361153169017,1.03295421660701,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_minus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00667488880142523,0.00913332411641248,0.129014179120685,0.00718949736028625,,,,,,,,,-0.00286744983578507,0.000756744699533473,0.941355752937332,0.0144195966537764,0.425,,0.930169667266307,0.00172977380524889,0.133558428321464,0.00461905130811999,4.32361153169017,1.03295421660701,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_plus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00470790673323943,0.00921114362413151,0.130024430749841,0.00671019409389558,,,,,,,,,-0.00286744983578507,0.000756744699533473,0.941355752937332,0.0144195966537764,0.425,,0.930169667266307,0.00172977380524889,0.133558428321464,0.00461905130811999,4.32361153169017,1.03295421660701,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.000983491034092898,0.00640736855683475,0.0903924070230125,0.00485777255253023,,,,,,,,,-0.00286744983578507,0.000756744699533473,0.941355752937332,0.0144195966537764,0.425,,0.930169667266307,0.00172977380524889,0.133558428321464,0.00461905130811999,4.32361153169017,1.03295421660701,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","above_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00506331896557301,0.00855019204370309,0.120721531682644,0.00644943477549639,,,,,,,,,0,0,1,0,0,,1,0,0,0,4.65090426622944,1.16651264492848,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","average","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00233574302557384,0.00672450800032625,0.0948896109009064,0.0053125753884996,,,,,,,,,0,0,1,0,0,,1,0,0,0,4.65090426622944,1.16651264492848,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","below_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00973480501671858,0.00879697171138562,0.12447779711903,0.00745327258310464,,,,,,,,,0,0,1,0,0,,1,0,0,0,4.65090426622944,1.16651264492848,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","integrated","not computed (B = 0)",200,200,0,0,0,0,0,0,0,,,0.158702089061118,0.00504050319811686,,,,,,,,,0,0,1,0,0,,1,0,0,0,4.65090426622944,1.16651264492848,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","profile_minus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.0104574813483083,0.00982882910071312,0.139046500613515,0.008133444758304,,,,,,,,,0,0,1,0,0,,1,0,0,0,4.65090426622944,1.16651264492848,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","profile_plus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00578599529715971,0.00962816265884394,0.135945134015252,0.00718174469354316,,,,,,,,,0,0,1,0,0,,1,0,0,0,4.65090426622944,1.16651264492848,,,,,,"conditional on successful intervals"
